Freq:2500000000
Bias:                0.17ms of 10000 times

thread(0) id:2904
                              :      Self Time       ms,      Full Time       ms,      Self Avg Time   ms,      Full Avg Time   ms,      Full Max Time   ms
SuggGetImmDataImcPtr(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
SuggInnerGetSuggVisible(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
SuggGetShowingSuggestion(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
       SuggRetIsTrue(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
           SuggDoCmd(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
    FocusInSearchBar(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
 InnerGetSuggVisible(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
     fi_checkversion(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
    fi_checkexpindex(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
   fi_checksearchbar(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
    fi_startfromhwnd(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
fi_checkinsearchpage(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
fi_parseelementproperty(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
fi_checkelementproperty(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
  fi_checksearchbar2(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
   fi_getwindowstext(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
 Image_Fixed_NoAlpha(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
Image_Stretched_NoAlpha(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
Image_GenRegion_Alpha(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
Image_GenRegion_Fixed(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
Image_RenderFixed_BkAlpha(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
Image_RenderFixed_Alpha(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
Image_RenderStretched_BkAlpha(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
Image_RenderStretched_Alpha_HDC(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
Image_RenderStretched_Alpha(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
    Image_GenHitMask(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
      RegisterPlugin(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
     RegisterPlugin1(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
